ticker,name,sector,lei
LWDB,Law Debenture,Investment Trusts,
LGEN,Legal & General,Life insurance,213800JH9QQWHLO99821
BGEO,Lion Finance Group,Banking Services,213800XKDG12NQG8VC53
LLOY,Lloyds Banking Group,Banks,549300PPXHEU2JF0AM85
LSEG,London Stock Exchange Group,Financial services,213800QAUUUP6I445N30
LMP,LondonMetric Property,Real Estate Investment Trusts,
MNG,M&G,Financial services,254900TWUJUQ44TQJY84
EMG,Man Group,Investment Trusts,
MKS,Marks & Spencer,Food & drug retailing,213800EJP14A79ZG1X44
MEGP,ME Group International,Leisure Goods,2138006YJ65EKBYYYX41
MRO,Melrose Industries,Aerospace & defence,213800RGNXXZY2M7TR85
MRC,Mercantile Investment Trust,Collective Investments,
MRCH,Merchants Trust,Investment Trusts,
MTLN,Metlen Energy & Metals,Multiline utilities,213800ZSR3HVKMMPVG86
